child_ID,age_mo_round,child_gender,corpus,cp,n_can,n_speechlike,n_total
Casillas-Yeli F07,1,F,Yélî,0.0397350993377483,6,151,NA
Casillas-Yeli F10,17,M,Yélî,0.117647058823529,20,170,NA
Casillas-Yeli F11,20,F,Yélî,0.169117647058824,23,136,NA
Casillas-Yeli F13,36,M,Yélî,0.285714285714286,60,210,NA
Casillas-Yeli F23,13,F,Yélî,0.0492610837438424,10,203,NA
Casillas-Yeli F28,4,M,Yélî,0.0192307692307692,1,52,NA
Casillas-Yeli F31,26,F,Yélî,0.386934673366834,77,199,NA
Casillas-Yeli F32,4,M,Yélî,0.0466666666666667,7,150,NA
Casillas-Yeli F34,9,F,Yélî,0.0421052631578947,8,190,NA
Casillas-Yeli F42,8,M,Yélî,0.111888111888112,16,143,NA
Quechua 105,23,M,Quechua,0.494791666666667,95,192,NA
Quechua 114,22,M,Quechua,0.289473684210526,11,38,NA
Quechua 117,25,M,Quechua,0.358974358974359,14,39,NA
Seedlings 11,14,M,English-Bergelson,0.27891156462585,41,147,NA
Seedlings 14,13,F,English-Bergelson,0.275641025641026,43,156,NA
Seedlings 26,7,M,English-Bergelson,0.183823529411765,25,136,NA
Seedlings 28,10,F,English-Bergelson,0.152380952380952,16,105,NA
Seedlings 36,7,F,English-Bergelson,0.0413793103448276,6,145,NA
Seedlings 4,8,M,English-Bergelson,0.0685714285714286,12,175,NA
Seedlings 43,15,F,English-Bergelson,0.103846153846154,27,260,NA
Seedlings 44,9,F,English-Bergelson,0.262032085561497,49,187,NA
Seedlings 8,12,F,English-Bergelson,0.210843373493976,35,166,NA
Seedlings 9,17,M,English-Bergelson,0.196261682242991,42,214,NA
Tseltal 2109,7,F,Tseltal,0.0428571428571429,6,140,NA
Tseltal 2625,32,F,Tseltal,0.465408805031447,74,159,NA
Tseltal 3026,36,M,Tseltal,0.632911392405063,150,237,NA
Tseltal 6216,27,F,Tseltal,0.519230769230769,81,156,NA
Tseltal 643,2,M,Tseltal,0.04,5,125,NA
Tseltal 7176,4,M,Tseltal,0.163461538461538,17,104,NA
Tseltal 7220,22,F,Tseltal,0.349693251533742,57,163,NA
Tseltal 7326,14,M,Tseltal,0.216216216216216,8,37,NA
Tseltal 8179,6,F,Tseltal,0.0884955752212389,10,113,NA
Tseltal 8787,11,M,Tseltal,0.403846153846154,63,156,NA
