child_ID,age_mo_round,child_gender,corpus,cp,n_can,n_speechlike,n_total
C104,12,F,solomon,0.0634920634920635,4,63,75
C132,24,F,solomon,0.598684210526316,91,152,154
C142,36,F,solomon,0.7875,63,80,91
C156,4,M,solomon,0.574468085106383,27,47,49
C16,18,M,solomon,0.457142857142857,16,35,35
C181,18,M,solomon,0.395348837209302,17,43,46
C31,36,M,solomon,0.753846153846154,49,65,66
C41,24,M,solomon,0.481927710843373,40,83,101
C42,48,M,solomon,0.51219512195122,42,82,85
C48,24,M,solomon,0.5125,41,80,94
C53,17,F,solomon,0.368421052631579,7,19,19
C70,8,F,solomon,0.4,4,10,10
C72,18,M,solomon,0.461538461538462,30,65,75
C82,26,M,solomon,0.62406015037594,83,133,141
C90,16,F,solomon,0.328571428571429,23,70,73
