child_ID,age_mo_round,child_gender,corpus,cp
5D7123D50000332A,8,M,yeli-semenzin,0.318181818
5D7123970000332D,9,M,yeli-semenzin,0.549450549
5D711E380000332A,9,F,yeli-semenzin,0.37804878
5D704C52000024F2,13,M,yeli-semenzin,0.35
5D7122270000332C,13,M,yeli-semenzin,0.450704225
5D7116B900003330,14,M,yeli-semenzin,0.474576271
5D712519000024F2,14,M,yeli-semenzin,0.351851852
5D7124AF0000332B,15,M,yeli-semenzin,0.448717949
5D71234E00002028,16,M,yeli-semenzin,0.672727273
5D712553000024F0,16,F,yeli-semenzin,0.513513514
5D71258600002028,17,F,yeli-semenzin,0.416666667
5D71244F00003329,20,F,yeli-semenzin,0.511111111
5D704A6D00003329,24,F,yeli-semenzin,0.543478261
5D7121C00000332E,26,M,yeli-semenzin,0.73015873
5D711C0500002028,26,M,yeli-semenzin,0.72
5D71269300003329,28,F,yeli-semenzin,0.553846154
5D7126C200002028,29,M,yeli-semenzin,0.626086957
5D7122FF0000332E,32,F,yeli-semenzin,0.632478632
5D711B88000024F0,35,F,yeli-semenzin,0.5125
5D7053E00000332C,38,F,yeli-semenzin,0.596638655
5D71241F0000332F,46,M,yeli-semenzin,0.634146341
5D7125C90000332E,52,M,yeli-semenzin,0.748091603
5D7054700000332E,53,M,yeli-semenzin,0.632653061
5D7122C60000332F,54,M,yeli-semenzin,0.606382979
5D7126430000332A,57,F,yeli-semenzin,0.68852459
5D71260800003330,63,M,yeli-semenzin,0.784313725
5D711D780000332D,63,F,yeli-semenzin,0.58974359
5D704B7D0000332F,67,M,yeli-semenzin,0.657142857
5D71228300003330,67,M,yeli-semenzin,0.784172662
5D7121000000332B,70,F,yeli-semenzin,0.329268293
5D7124E40000332C,72,F,yeli-semenzin,0.626760563
