child_ID,ITS,age_mo_round,child_gender,corpus,cp,n_can,n_speechlike,n_total,n_total_inc_no_majority
2017_C03,tsimane2017_C03_20170707.rttm,62,M,tsimane,0.572528883183569,446,779,1222,1683
2017_C06,tsimane2017_C06_20170717.rttm,51,M,tsimane,0.458394160583942,314,685,1309,1856
2017_C13,tsimane2017_C13_20170709.rttm,6,F,tsimane,0.323943661971831,115,355,1027,1378
2017_C17,tsimane2017_C17_20170711.rttm,55,M,tsimane,0.528186274509804,431,816,1399,1904
2017_C19,tsimane2017_C19_20170711.rttm,12,F,tsimane,0.256756756756757,133,518,1201,1763
2017_C21,tsimane2017_C21_20170712.rttm,44,M,tsimane,0.441358024691358,286,648,1277,1822
2017_C23,tsimane2017_C23_20170719.rttm,69,M,tsimane,0.381818181818182,231,605,1059,1593
2017_C26,tsimane2017_C26_20170713.rttm,47,F,tsimane,0.515248796147673,321,623,1237,1767
2931_1,2931_1,13,F,purdue,0.336217552533993,272,809,1423,1831
3201_1,3201_1,11,M,purdue,0.0538461538461538,35,650,1436,1788
3211_1,3211_1,7,M,purdue,0.257889990982867,286,1109,1962,2523
3211_2,3211_2,14,M,purdue,0.372421281216069,343,921,1235,1549
3291_1,3291_1,19,M,purdue,0.264056939501779,371,1405,2243,2862
3451_1,3451_1,12,M,purdue,0.125223613595707,70,559,1125,1449
3491_7,3491_7,16,F,purdue,0.432213209733488,373,863,1345,1718
3681_1,3681_1,5,F,purdue,0.0332749562171629,19,571,2143,2730
3741_1,3741_1,12,M,purdue,0.0983358547655068,65,661,1647,2012
5031_1,5031_1,12,F,purdue,0.18503937007874,94,508,876,1024
5DB0A38F000332FR,e20191023_210456_013099,28,M,yeli,0.435897435897436,68,156,266,312
5DB0A3B8000332FR,e20191024_000253_008232,21,M,yeli,0.461988304093567,79,171,230,273
5DB1F71B0002028R,e20190927_190034_008232,41,F,yeli,0.372549019607843,57,153,244,305
5DF3D4DA00002028,e20190925_082312_008232,62,M,yeli,0.66839378238342,129,193,244,297
5DF3D5BB00002028,e20190925_082635_013099,67,M,yeli,0.669856459330144,140,209,258,304
5E4E988900002028,e20200220_153526_008232,12,F,french,0.178947368421053,17,95,244,274
5E4EA6FB0000332C,e20200220_163617_013100,11,F,french,0.0865384615384615,9,104,280,311
5E563F1A0000332B,e20200226_105144_013099,12,M,french,0.226890756302521,27,119,328,385
5E56526B000024F2,e20200226_121334_009458,12,F,french,0.191780821917808,14,73,238,271
5E566CF60000332A,e20200226_140612_013098,12,F,french,0.122222222222222,11,90,240,284
5E5682AC0000332E,e20200226_154007_013102,12,M,french,0.0952380952380952,14,147,342,412
5E579D120000332D,e20200227_114344_013101,13,M,french,0.211538461538462,22,104,256,319
5E57C2E300003329,e20200227_142442_013097,12,M,french,0.233333333333333,21,90,259,306
5E5D1CF000002028,e20200302_155025_008232,12,M,french,0.16875,27,160,321,384
5E5F7F250000332A,e20200304_111401_013098,12,NA,french,0.227272727272727,10,44,226,268
5E5FA7330000332E,e20200304_140418_013102,11,NA,french,0.132743362831858,15,113,285,343
5E6104400000332D,e20200305_145449_013101,12,F,french,0.105527638190955,21,199,462,530
5E663485000024F0,e20200309_132125_009456,12,NA,french,0.11864406779661,14,118,253,326
u01,e20170722_092639_013097,33,F,tsimane,0.415510204081633,509,1225,2531,3561
u02,e20170709_154812_013104,36,F,tsimane,0.44947209653092,298,663,1441,1940
u03,e20170709_154406_009458,31,M,tsimane,0.297297297297297,176,592,1536,2092
u04,e20170714_182140_013097,59,M,tsimane,0.552825552825553,450,814,1543,2157
u05,e20170714_182445_013098,24,M,tsimane,0.470985155195682,349,741,1506,2019
u06,e20170714_183531_013102,51,M,tsimane,0.592765460910152,508,857,1405,1860
u07,e20170714_183036_013099,19,M,tsimane,0.439093484419263,310,706,1459,2000
u08,e20170714_183253_013101,36,F,tsimane,0.523598820058997,355,678,1452,1973
u09,e20170714_182735_013104,30,M,tsimane,0.336252189141856,192,571,1550,2133
u10,e20170713_094014_013103,39,M,tsimane,0.475409836065574,319,671,1362,1941
u11,e20170722_092350_009458,15,M,tsimane,0.334051724137931,310,928,1688,2295
u12,e20170722_093015_009456,54,F,tsimane,0.467243510506799,378,809,1521,2064
u13,e20170722_092028_013102,8,F,tsimane,0.278186274509804,227,816,1555,2094
u14,e20180728_111435_013097,18,F,tsimane,0.21259842519685,27,127,241,301
u20,e20180716_170035_013097,53,M,tsimane,0.539393939393939,89,165,219,303
u22,e20180722_174722_013100,51,F,tsimane,0.616,77,125,192,292
u23,e20180724_151739_009458,54,F,tsimane,0.447916666666667,43,96,184,272
u24,e20180717_134815_013101,48,F,tsimane,0.509433962264151,54,106,276,345
u25,e20180723_090451_013104,60,F,tsimane,0.589147286821705,76,129,250,319
u26,e20180723_173623_013101,15,M,tsimane,0.330578512396694,40,121,231,300
u27,e20180718_152602_013097,20,F,tsimane,0.320388349514563,33,103,240,301
u28,e20180723_033428_013097,71,M,tsimane,0.567375886524823,80,141,215,293
